localword,tweetid,type
americanafest_0,"[[778255202059104257, 778397830343974913, 778406630232887296, 778593598262640640, 778647204542021633, 778652073336471552, 778729446341644288, 778744227849080832, 778752195294482432, 778771547829903360, 778793824781012992, 779119689041489920, 779122289354874881, 779134457576091649, 779151561540964352, 779158394716426240, 779162868620988416]]",topic 61
americanafest_0,"[[778255202059104257, 778397830343974913, 778406630232887296, 778593598262640640, 778647204542021633, 778652073336471552, 778729446341644288, 778744227849080832, 778752195294482432, 778771547829903360, 778793824781012992, 779119689041489920, 779122289354874881, 779134457576091649, 779151561540964352, 779158394716426240, 779162868620988416]]",topic 58
ancaster_0,"[[778641881416818688, 778674197321035776, 778991731492720640]]",topic 16
anchor bar_0,"[[777933432466706432, 778264620138131456, 779028401436909569]]",topic 33
anchor bar_0,"[[777933432466706432, 778264620138131456, 779028401436909569]]",topic 34
andreabocelli_0,"[[777526661902430208, 777582388364898305]]",topic 59
andreabocelli_0,"[[777526661902430208, 777582388364898305]]",topic 58
angele_4,"[[777418619642839040, 777601270353985539, 777613541272674304, 777632564563546112, 777643749040152576, 777648558312861700, 777664679900483584, 777666563562274816, 777695230967644160, 777371754616459264, 777891451619385344, 777894095586930688, 778019491561299968, 778021411071881216, 778277539089420288]]",topic 2
angele_4,"[[777418619642839040, 777601270353985539, 777613541272674304, 777632564563546112, 777643749040152576, 777648558312861700, 777664679900483584, 777666563562274816, 777695230967644160, 777371754616459264, 777891451619385344, 777894095586930688, 778019491561299968, 778021411071881216, 778277539089420288]]",topic 3
angele_6,"[[777536125170622464, 777569859517505536, 777637151777357824]]",topic 82
angele_6,"[[777536125170622464, 777569859517505536, 777637151777357824]]",topic 81
angele_7,"[[777514704335953920, 777566397991940096, 777648801926541316, 777700510178639872, 778253729422127104]]",topic 44
angele_7,"[[777514704335953920, 777566397991940096, 777648801926541316, 777700510178639872, 778253729422127104]]",topic 42
animal kingdom_0,"[[777433366513668100, 778052431334797312, 778945527371051008]]",topic 83
animal kingdom_0,"[[777433366513668100, 778052431334797312, 778945527371051008]]",topic 81
animalkingdom_0,"[[777912564248379392, 777999685592215556, 778335527246364673, 778547667588771840, 778641538662490112, 778666316865605632, 778667546702667777, 779073975687192577, 779074934123458560]]",topic 57
antelope canyon_0,"[[777608162538946560, 777618766427553796, 777371418627543040, 778019066502086656, 778133241995943936, 778423868344197120, 778774541262655488]]",topic 83
antelope canyon_0,"[[777608162538946560, 777618766427553796, 777371418627543040, 778019066502086656, 778133241995943936, 778423868344197120, 778774541262655488]]",topic 81
antelopecanyon_0,"[[777621768039170048, 777881741243535361, 778319382074236928, 778998879488401408]]",topic 81
antelopecanyon_0,"[[777621768039170048, 777881741243535361, 778319382074236928, 778998879488401408]]",topic 82
antihero ipa_1,"[[778077444762918913, 778378644339191809]]",topic 33
antihero ipa_1,"[[778077444762918913, 778378644339191809]]",topic 34
apache cafe_1,"[[777649803773800448, 778073382193594372, 778645078474645505, 778764709801529344, 778772828866940929, 778814609243250689, 778939224531820544]]",topic 58
apache cafe_1,"[[777649803773800448, 778073382193594372, 778645078474645505, 778764709801529344, 778772828866940929, 778814609243250689, 778939224531820544]]",topic 66
apple hill_0,"[[777593127670419456, 777614142740033536, 777904405630685184, 777973687697956864, 778347933100019712, 778702959420936192]]",topic 58
apple hill_0,"[[777593127670419456, 777614142740033536, 777904405630685184, 777973687697956864, 778347933100019712, 778702959420936192]]",topic 60
appstate_0,"[[777671332284731392, 777672324308803585, 778697356057337860]]",topic 82
appstate_0,"[[777671332284731392, 777672324308803585, 778697356057337860]]",topic 81
arbutus_0,"[[777536862504165376, 777706305440153600, 777986169367764993]]",topic 16
arcadian moon_0,"[[777566157738041344, 777994297786368000, 778204918771482629]]",topic 81
arcadian moon_0,"[[777566157738041344, 777994297786368000, 778204918771482629]]",topic 82
archangelsummit_0,"[[778576247039275008, 778583347945758720, 778584756493615104, 778588517823877120, 778603607151173632, 778608265907220486, 778615140916789249, 778618876443652097, 778620087062425600, 778620477816315904, 778626723583782912, 778634800819085314, 778668724622618624, 778671033003880449, 778720935461261312, 778726832338153472, 778760530307665920, 778763581131153408, 778766222112546816, 778840983949549568, 778959577144373248, 778960780158918657, 778960797959491584]]",topic 58
archangelsummit_0,"[[778576247039275008, 778583347945758720, 778584756493615104, 778588517823877120, 778603607151173632, 778608265907220486, 778615140916789249, 778618876443652097, 778620087062425600, 778620477816315904, 778626723583782912, 778634800819085314, 778668724622618624, 778671033003880449, 778720935461261312, 778726832338153472, 778760530307665920, 778763581131153408, 778766222112546816, 778840983949549568, 778959577144373248, 778960780158918657, 778960797959491584]]",topic 63
aria_0,"[[778715967136292864, 779059816237043712, 779079721342668801, 779109146549428224, 779120647716962304, 779123379781722115, 779123965092651008, 779131636298448896, 779141673548939265]]",topic 2
aria_0,"[[778715967136292864, 779059816237043712, 779079721342668801, 779109146549428224, 779120647716962304, 779123379781722115, 779123965092651008, 779131636298448896, 779141673548939265]]",topic 5
aria_1,"[[777406595730841600, 777432345334915072, 777446002219364352, 777559698010611712, 777620025955999745, 777659210620207104, 778530311177170948, 778760900438175744]]",topic 33
aria_1,"[[777406595730841600, 777432345334915072, 777446002219364352, 777559698010611712, 777620025955999745, 777659210620207104, 778530311177170948, 778760900438175744]]",topic 34
arlingtonheight_0,"[[778238935302492161, 779015124837212160, 779024620745699329, 779048950154219520]]",topic 16
arlingtonva_0,"[[777529467581243394, 777532078145441793, 777919302963867648, 778224414404014080, 778227351087751169, 778242567204777985, 778729886609395712]]",topic 28
art prize_1,"[[777605247472640001, 778594537300262912, 778657031960035333, 778938702588481536]]",topic 3
